IDNO	LINE	BDNO	BCNO	FR_CODE	FR_SEQ	CAR_FAMILY	CAR_NAME	RS_DATETIME	RF_DATETIME	STAYRESULT
7111240008	1	12724	907	740	0072732	    	CX	2015-11-23 17:55:40.000	2015-11-24 15:28:25.000	393
7111240009	1	12788	970	740	0072738	    	CX	2015-11-23 18:00:38.000	2015-11-23 18:52:19.000	42
7111240011	1	13230	411	740	0072801	    	CX	2015-11-24 09:16:39.000	2015-11-24 10:21:58.000	65
7111240012	1	12752	935	740	0072735	    	CX	2015-11-23 17:37:30.000	2015-11-23 19:59:03.000	132
7111240013	1	13191	372	740	0072795	    	CX	2015-11-24 08:49:11.000	2015-11-24 10:00:20.000	71
7111240017	1	12842	024	740	0072745	    	CX	2015-11-23 20:21:26.000	2015-11-23 22:34:24.000	88
7111240020	1	12816	998	741	0016969	    	CX	2015-11-24 09:23:18.000	NULL	NULL
7111240023	1	13074	256	741	0016974	    	CX	2015-11-24 01:09:53.000	2015-11-24 14:51:21.000	4
7111240025	1	13381	562	740	0072822	    	CX	2015-11-24 12:19:58.000	2015-11-24 13:35:04.000	66
7111240030	1	13195	376	740	0072796	    	CX	2015-11-24 08:54:14.000	2015-11-24 09:20:42.000	26
7111240034	1	12771	954	741	0016967	    	CX	2015-11-23 19:21:53.000	2015-11-23 20:16:58.000	55
7111240036	1	13226	407	739	0037173	    	CW	2015-11-24 08:11:23.000	2015-11-24 09:09:40.000	48
7111240037	1	13459	639	739	0037179	    	CW	2015-11-24 13:32:50.000	2015-11-24 13:59:16.000	24
7111240038	1	12981	163	739	0037167	    	CW	2015-11-23 22:15:54.000	2015-11-23 23:15:09.000	60
7111240039	1	12766	949	740	0072736	    	CX	2015-11-23 19:18:04.000	2015-11-23 19:56:22.000	38
7111240041	1	13425	605	740	0072828	    	CX	2015-11-24 12:30:20.000	2015-11-24 13:38:39.000	58
7111240043	1	12588	771	740	0072715	    	CX	2015-11-23 15:18:05.000	2015-11-23 17:14:14.000	86
7111240046	1	12533	716	741	0016956	    	CX	2015-11-23 14:33:31.000	2015-11-23 17:01:01.000	108
7111240048	1	12988	170	740	0072767	    	CX	2015-11-24 00:56:51.000	2015-11-24 07:37:46.000	136
7111240050	1	12568	751	740	0072713	    	CX	2015-11-23 14:14:35.000	2015-11-23 15:23:50.000	59
7111240057	1	13162	343	741	0016976	    	CX	2015-11-24 08:07:49.000	2015-11-24 08:16:53.000	9
7111240060	1	13099	280	741	0016975	    	CX	2015-11-24 00:59:07.000	2015-11-24 07:39:31.000	12
7111240062	1	12631	814	741	0016961	    	CX	2015-11-23 23:41:09.000	2015-11-24 00:59:03.000	13
7111240064	1	12759	942	739	0037162	    	CW	2015-11-23 19:15:14.000	2015-11-23 22:42:34.000	162
7111240065	1	13010	192	739	0037168	    	CW	2015-11-23 23:10:04.000	2015-11-24 06:39:56.000	174
7111240070	1	12703	886	739	0037161	    	CW	2015-11-23 17:15:48.000	2015-11-23 23:01:23.000	291
7111240071	1	13418	598	739	0037178	    	CW	2015-11-24 12:19:01.000	2015-11-24 13:10:32.000	51
7111240072	1	12883	065	740	0072752	    	CX	2015-11-23 21:39:45.000	2015-11-23 22:45:40.000	66
7111240075	1	12679	862	740	0072726	    	CX	2015-11-23 16:50:06.000	2015-11-23 19:41:05.000	161
7111240076	1	13119	300	740	0072784	    	CX	2015-11-24 07:15:27.000	2015-11-24 07:53:53.000	38
7111240077	1	13155	336	740	0072790	    	CX	2015-11-24 06:54:09.000	2015-11-24 09:30:32.000	146
7111240078	1	13031	213	740	0072772	    	CX	2015-11-24 00:04:03.000	2015-11-24 01:03:02.000	59
7111240081	1	12823	005	740	0072743	    	CX	2015-11-23 19:40:40.000	2015-11-24 10:22:31.000	78
7111240084	1	13034	216	740	0072773	    	CX	2015-11-24 06:33:45.000	2015-11-24 09:00:38.000	137
7111240086	1	13343	524	740	0072816	    	CX	2015-11-24 11:36:12.000	2015-11-24 12:24:35.000	48
7111240092	1	12561	744	740	0072712	    	CX	2015-11-23 14:02:35.000	2015-11-23 16:36:04.000	114
7111240093	1	12657	840	740	0072724	    	CX	2015-11-23 17:06:15.000	2015-11-23 19:06:58.000	36
7111240096	1	13396	577	740	0072825	    	CX	2015-11-24 12:02:17.000	2015-11-24 13:18:58.000	76
7111240098	1	13068	250	740	0072778	    	CX	2015-11-24 01:12:41.000	2015-11-24 08:26:00.000	75
7111240099	1	13134	315	740	0072786	    	CX	2015-11-24 06:40:47.000	2015-11-24 08:06:03.000	86
7111240104	1	13429	609	740	0072829	    	CX	2015-11-24 12:29:06.000	2015-11-24 13:48:30.000	69
7111240105	1	13438	618	740	0072830	    	CX	2015-11-24 12:56:04.000	2015-11-24 13:55:39.000	49
7111240107	1	12962	144	740	0072763	    	CX	2015-11-24 15:02:14.000	2015-11-24 15:12:08.000	10
7111240108	1	12890	072	740	0072753	    	CX	2015-11-23 20:26:58.000	2015-11-24 14:22:47.000	120
7111240109	1	12818	000	740	0072742	    	CX	2015-11-23 20:03:58.000	2015-11-23 21:38:41.000	50
7111240110	1	12863	045	740	0072749	    	CX	2015-11-23 20:18:00.000	2015-11-23 22:21:03.000	78
7111240113	1	13301	482	740	0072810	    	CX	2015-11-24 09:54:48.000	2015-11-24 11:47:10.000	68
7111240114	1	13377	558	740	0072821	    	CX	2015-11-24 12:05:17.000	2015-11-24 12:33:02.000	28
7111240119	1	12805	987	741	0016968	    	CX	2015-11-23 19:14:21.000	2015-11-24 13:08:32.000	93
7111240121	1	12547	730	740	0072710	    	CX	2015-11-23 14:05:15.000	2015-11-23 14:54:06.000	49
